name,price,side_effects,used_for
Azax 500 Tablet,₹ 71.25,"Vomiting,Nausea,Abdominal pain,Diarrhea,",Bacterial infections.
Aldactone Tablet,₹ 31.80,"Nausea,Vomiting,Leg cramps,Dizziness,Drowsiness,Confusion,Breast enlargement in male,Increased creatinine level in blood,","Hypertension (high blood pressure),Edema,Low potassium,Heart failure,"
Axcer  90mg Tablet,₹ 420,"Bleeding,Breathlessness,","Prevention of heart attack and stroke,"
Antiflu 75mg Capsule,₹ 660.66,"Nausea,Vomiting,Abdominal pain,Diarrhea,","Influenza (flu),"
Altraday Capsule SR,₹ 112,"Nausea,Flatulence,Indigestion,Diarrhea,Constipation,","Pain relief,"
Amoxyclav 625 Tablet,₹ 113.25,"Vomiting,Nausea,Diarrhea,","Bacterial infections,"
Azoran Tablet,₹ 106.10,"Decreased white blood cell count,Increased bleeding tendency,Nausea,Infection,Loss of appetite,","Prevention of organ rejection in transplant patients,Rheumatoid arthritis,"
Avomine Tablet,₹ 46.27,"Dryness in mouth,Blurred vision,Headache,Dizziness,","Nausea,Vomiting,Treatment of Allergic conditions,Motion sickness,"
Amlokind 5 Tablet,₹ 13.27,"Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,","Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),"
Ativan 2mg Tablet,₹ 82.55,"Fatigue,Balance disorder (loss of balance),Dizziness,Sleepiness,","Treatment of Short term anxiety,Treatment of Anxiety disorder,"
Azicip 500 Tablet,₹ 71.33,"Vomiting,Nausea,Abdominal pain,Diarrhea,","Bacterial infections,"
Betadine 2% Gargle Mint,₹ 140,"No common side effects seen,","Treatment of Mouth infection,Treatment of Sore throat,Treatment of Dry mouth,"
Benadryl Syrup,₹ 118,"Stomach pain/epigastric pain,Dizziness,Sleepiness,Impaired coordination,Thickened respiratory tract secretions,Allergic reaction,","Cough,"
Bro-Zedex  Syrup,₹ 129.75,"Nausea,Indigestion,Bloating,Vomiting,Diarrhea,Stomach pain,Dizziness,Headache,Sweating,Skin rash,Hives,Tremor,Increased heart rate,Palpitations,","Cough,"
Betnovate-C Cream,₹ 53.30,"Application site reactions (burning, irritation, itching and redness),","Bacterial skin infections,Fungal skin infections,Skin conditions with inflammation & itching,"
Bandy-Plus Chewable Tablet,₹ 25,"Nausea,Vomiting,Diarrhea,Loss of appetite,Increased liver enzymes,Itching,Dizziness,Swelling of lymph nodes,","Worm infections,"
Betnesol Tablet,₹ 12.85,"Reduction in bone density,Upset stomach,","Allergic conditions,"
Brufen 400 Tablet,₹ 11.59,"Vomiting,Stomach pain,Nausea,Indigestion,Heartburn,","Pain relief,Fever,"
Brilinta 90mg Tablet,₹ 420,"Bleeding,Breathlessness,","Prevention of heart attack and stroke,"
Betadine 10% Solution,₹ 104.16,"Application site reactions (burning, irritation, itching and redness),","Prevention of Wound infection,"
Budecort 0.5mg Respules 2ml,₹ 118.85,"Difficulty in swallowing,Throat irritation,Fungal infection of mouth,Fungal infection of oropharynx,","Treatment and prevention of Asthma,"
Betadine 2% Gargle Mint,₹ 230,"No common side effects seen,","Treatment of Mouth infection,Treatment of Sore throat,Treatment of Dry mouth,"
Benzac AC 2.5% Gel,₹ 83,"Itching,Dry skin,Burning sensation,Erythema (skin redness),Skin peeling,Stinging sensation,","Acne,"
Bandy-Plus 12 Tablet,₹ 30,"Nausea,Vomiting,Diarrhea,Loss of appetite,Increased liver enzymes,Itching,Dizziness,Swelling of lymph nodes,","Worm infections,"
Betacap TR 40 Capsule,₹ 42.44,"Tiredness,Weakness,Raynaud phenomenon,Arrhythmia (irregular heartbeats),Nausea,Vomiting,Diarrhea,","Hypertension (high blood pressure),Anxiety,Arrhythmia,Prevention of Heart attack,Prevention of Angina (heart-related chest pain),Prevention of Migraine,"
Buscopan 10mg Tablet,₹ 39.50,"Blurred vision,Increased heart rate,Dryness in mouth,Diarrhea,Dilatation of pupil,","Treatment of Pain due to smooth muscle spasm,Treatment of Irritable bowel syndrome,"
Broclear Tablet,₹ 191,"Vomiting,Heartburn,Stomach pain,Upset stomach,Rash,Hives,Itching,Breathing problems,Nasal inflammation,Increased white blood cell count,","Chronic obstructive pulmonary disease (COPD),"
Betnovate-N  Cream,₹ 36.60,"Nausea,Vomiting,Diarrhea,","Treatment of Bacterial skin infections,"
Banocide Forte Tablet,₹ 43.39,"Headache,Dizziness,Vomiting,Abnormal liver function tests,Nausea,Abdominal pain,Hair loss,Fever,Vertigo,","Worm infections,Filariasis,"
Betnovate-GM Cream,₹ 31,"Application site reactions (burning, irritation, itching and redness),Thinning of skin,Skin peeling,","Skin infections,"
Bilasure 20 Tablet,₹ 118,"Headache,Drowsiness,","Treatment of Allergic conditions,"
Bandy-Plus Suspension,₹ 33,"Vomiting,Nausea,Dizziness,Headache,Abdominal pain,Loss of appetite,Hair loss,Fever,Sore throat,","Treatment of Parasitic Worm infections,"
Betaloc 25mg Tablet,₹ 98.40,"Orthostatic hypotension (sudden lowering of blood pressure on standing),Slow heart rate,Headache,Dizziness,Tiredness,Stomach pain,Nausea,Breathlessness,","Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,"
Betadine 10% Ointment,₹ 85.50,"Application site reactions (burning, irritation, itching and redness),","Prevention of Wound infection,"
Benadryl DR Syrup,₹ 102,"Sleepiness,Dizziness,Confusion,Nausea,","Treatment of Dry cough,"
Betnesol-N Eye/Ear Drops,₹ 16.55,"Application site reactions (burning, irritation, itching and redness),","Treatment of Bacterial eye / ear infections,"
Betadine 10% Ointment,₹ 116.26,"Application site reactions (burning, irritation, itching and redness),","Prevention of Wound infection,"
Betnesol Forte Tablet,₹ 19.40,"Reduction in bone density,Upset stomach,","Allergic conditions,"
Benxop Face Wash,₹ 187,"Itching,Dry skin,Burning sensation,Erythema (skin redness),Skin peeling,Stinging sensation,","Acne,"
Betamil GM Cream,₹ 32.93,"Application site reactions (burning, irritation, itching and redness),Thinning of skin,Skin peeling,","Skin infections,"
Bandy Suspension,₹ 17.78,"Vomiting,Nausea,Dizziness,Headache,Abdominal pain,Loss of appetite,Hair loss,Fever,Sore throat,","Treatment of Parasitic Worm infections,"
Asthalin 100mcg Inhaler,₹ 141.75,"Tremor,Headache,Tachycardia,","Asthma,Chronic obstructive pulmonary disease (COPD),"
Allegra 180mg Tablet,₹ 207.62,"Headache,Drowsiness,Dizziness,Nausea,","Treatment of Allergic conditions,"
Alfoo 10mg Tablet PR,₹ 568.50,"Upper respiratory tract infection,Dizziness,Headache,Tiredness,","Treatment of Benign prostatic hyperplasia,"
Ativan 1mg Tablet,₹ 68,"Dizziness,Weakness,Sedation,Balance disorder (loss of balance),","Short term anxiety,Anxiety disorder,"
Aptimust Syrup,₹ 121,"Constipation,Dryness in mouth,Drowsiness,Sleepiness,Blurred vision,","Appetite stimulant,"
Arachitol 6L Injection,₹ 370.74,"Injection site reactions (pain, swelling, redness),Weakness,Muscle pain,Metallic taste,","Treatment of Vitamin D deficiency,Treatment of Osteoporosis,"
Amaryl 1mg Tablet,₹ 120.16,"Hypoglycemia (low blood glucose level),Headache,Nausea,Dizziness,","Type 2 diabetes mellitus,"
Alkasol Oral Solution,₹ 115.14,"Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,","Treatment of Gout,Treatment of Kidney stone,"
Althrocin 500 Tablet,₹ 92,"Vomiting,Nausea,Abdominal pain,Diarrhea,","Bacterial infections,"
Alprax 0.5mg Tablet SR,₹ 55.60,"Lightheadedness,Drowsiness,","Anxiety,Panic disorder,"
Akt 4 Kit,₹ 22.55,"Nausea,Vomiting,Rash,Fever,Dark colored urine,Sweating,Increased sputum production,Salivation,Watery eyes,Peripheral neuropathy (tingling and numbness of feet and hand),Increased liver enzymes,Jaundice,Increased uric acid level in blood,Visual impairment,","Tuberculosis (TB),"
ACTEMRA 80 MG INJECTION,"₹ 8,112","Headache,High blood pressure,Upper respiratory tract infection,Increased liver enzymes,Nasopharyngitis (inflammation of the throat and nasal passages),","Ankylosing spondylitis,Rheumatoid arthritis,Psoriasis,Ulcerative colitis,Crohn’s disease,"
Ambrodil-S Syrup,₹ 27.60,"Headache,Palpitations,Upset stomach,Tremor,Muscle cramp,Allergic reaction,Increased heart rate,","Cough,"
Asthakind-DX Syrup Sugar Free,₹ 60,"Nausea,Vomiting,Loss of appetite,Headache,","Dry cough,"
AB Phylline Capsule,₹ 135,"Nausea,Headache,Vomiting,Upset stomach,Restlessness,","Asthma,Chronic obstructive pulmonary disease (COPD),"
